id,title,duration,difficulty Level
1,HTML & CSS,16,Intermediate
2,JavaScript Basics,9,Intermediate
3,React,13,Intermediate
4,Node.js,12,Intermediate
5,Express.js,19,Beginner
6,MongoDB,16,Intermediate
7,Git & GitHub,12,Beginner
8,API Development,14,Advanced
9,RESTful Services,16,Intermediate
10,Deployment & Hosting,6,Advanced
11,Python for Data Science,10,Intermediate
12,Data Analysis with Pandas,16,Beginner
13,Data Visualization with Matplotlib,18,Beginner
14,Machine Learning Basics,15,Intermediate
15,Deep Learning with TensorFlow,14,Beginner
16,Natural Language Processing,11,Beginner
17,Data Cleaning & Preprocessing,10,Advanced
18,Statistical Analysis,14,Intermediate
19,Big Data with Spark,19,Beginner
20,Data Ethics,11,Intermediate
21,Introduction to Machine Learning,17,Beginner
22,Supervised Learning,11,Beginner
23,Unsupervised Learning,13,Intermediate
24,Model Evaluation,8,Beginner
25,Deep Learning Fundamentals,7,Advanced
26,Natural Language Processing Techniques,18,Advanced
27,Computer Vision Basics,6,Advanced
28,Reinforcement Learning,8,Beginner
29,Time Series Analysis,14,Beginner
30,Deployment of ML Models,8,Beginner
31,Network Security Fundamentals,19,Advanced
32,Ethical Hacking Basics,6,Intermediate
33,Web Application Security,16,Advanced
34,Incident Response,6,Intermediate
35,Cryptography Basics,13,Beginner
36,Security in Cloud Computing,12,Advanced
37,Penetration Testing,7,Advanced
38,Malware Analysis,8,Advanced
39,Vulnerability Assessment,14,Intermediate
40,Risk Management in Cybersecurity,15,Intermediate
41,Introduction to Cloud Computing,19,Intermediate
42,AWS Fundamentals,6,Beginner
43,Azure Basics,10,Intermediate
44,Google Cloud Platform Essentials,10,Intermediate
45,Cloud Security Best Practices,9,Intermediate
46,DevOps in the Cloud,15,Intermediate
47,Serverless Architecture,15,Beginner
48,Microservices in Cloud,10,Advanced
49,Containerization with Docker,18,Intermediate
50,Cloud Cost Management,9,Beginner
51,iOS Development Basics,14,Intermediate
52,Android Development Basics,12,Advanced
53,Cross-Platform Development with Flutter,9,Intermediate
54,User Interface Design for Mobile Apps,16,Advanced
55,Mobile App Security,9,Advanced
56,App Monetization Strategies,20,Intermediate
57,Performance Optimization for Mobile Apps,17,Beginner
58,API Integration in Mobile Apps,18,Advanced
59,Mobile Testing Strategies,12,Intermediate
60,Publishing Mobile Apps,17,Intermediate
61,Introduction to DevOps,10,Advanced
62,Continuous Integration and Delivery,18,Beginner
63,Infrastructure as Code,14,Advanced
64,Container Orchestration with Kubernetes,19,Beginner
65,Monitoring and Logging,10,Beginner
66,Automating Cloud Deployments,17,Beginner
67,Configuration Management with Ansible,6,Intermediate
68,Version Control with Git,15,Beginner
69,Agile Methodologies,10,Intermediate
70,Collaboration Tools in DevOps,18,Advanced
71,Frontend Development Basics,13,Advanced
72,Backend Development Fundamentals,17,Intermediate
73,Responsive Web Design,6,Intermediate
74,JavaScript Frameworks Overview,13,Advanced
75,Web Performance Optimization,16,Intermediate
76,SEO Best Practices,20,Intermediate
77,Web Accessibility Standards,8,Advanced
78,Content Management Systems (CMS),6,Beginner
79,E-commerce Development Basics,12,Advanced
80,Progressive Web Apps (PWAs),13,Intermediate
81,Introduction to Game Development,6,Beginner
82,Game Design Principles,13,Intermediate
83,Unity Basics,13,Beginner
84,Unreal Engine Basics,14,Advanced
85,2D Game Development,10,Advanced
86,3D Game Development,20,Advanced
87,Game Monetization Strategies,16,Beginner
88,Multiplayer Game Development,19,Beginner
89,Game Testing Techniques,8,Advanced
90,Virtual Reality Development,13,Intermediate
91,SEO Fundamentals,17,Beginner
92,Social Media Marketing,15,Beginner
93,Content Marketing Strategies,10,Beginner
94,Email Marketing Basics,12,Advanced
95,Google Ads Fundamentals,20,Intermediate
96,Analytics for Marketers,7,Beginner
97,Conversion Rate Optimization,16,Advanced
98,Influencer Marketing,10,Intermediate
99,Affiliate Marketing,7,Intermediate
100,Brand Management Online,16,Beginner
101,Introduction to Blockchain,9,Advanced
102,Smart Contracts Development,13,Beginner
103,Cryptocurrency Fundamentals,14,Beginner
104,Blockchain Security,6,Intermediate
105,Ethereum Development,12,Beginner
106,Decentralized Applications (DApps),14,Advanced
107,Tokenomics,16,Advanced
108,Hyperledger Basics,6,Beginner
109,Consensus Algorithms,17,Beginner
110,Blockchain Use Cases,19,Advanced
111,Introduction to AI,10,Beginner
112,AI in Robotics,7,Intermediate
113,Computer Vision Applications,12,Advanced
114,Speech Recognition Technologies,14,Advanced
115,Ethics in AI,19,Intermediate
116,AI in Healthcare,11,Intermediate
