id,title,description
1,Full Stack,Full stack is a term that refers to the development of both the front-end and back-end of an application. A full stack developer is a software developer
2,Full Stack Development,Description for Full Stack Development
3,Data Science,Description for Data Science
4,Machine Learning,Description for Machine Learning
5,Cybersecurity,Description for Cybersecurity
6,Cloud Computing,Description for Cloud Computing
7,Mobile App Development,Description for Mobile App Development
8,DevOps,Description for DevOps
9,Web Development,Description for Web Development
10,Game Development,Description for Game Development
11,Digital Marketing,Description for Digital Marketing
12,Blockchain Technology,Description for Blockchain Technology
13,Artificial Intelligence,Description for Artificial Intelligence
14,UI/UX Design,Description for UI/UX Design
15,IT Support,Description for IT Support
16,Project Management,Description for Project Management
17,Sales Skills,Description for Sales Skills
18,Business Analysis,Description for Business Analysis
19,Human Resources,Description for Human Resources
20,Finance Basics,Description for Finance Basics
21,Content Creation,Description for Content Creation
